add1 , add , pass , james , || Expected outcome: 246 | Actual outcome: 246 || Testing overflow handling || Dependencies: lui jr ||
add2 , add , pass , james , || Expected outcome: 0 | Actual outcome: 0 || Testing zero case functionality || Dependencies: jr ||
add3 , add , pass , james , || Expected outcome: 94 | Actual outcome: 94 || Testing basic functionality || Dependencies: addiu jr ||
addi1 , addi , pass , james , || Expected outcome: 246 | Actual outcome: 246 || Testing overflow handling || Dependencies: lui jr ||
addi2 , addi , pass , james , || Expected outcome: 0 | Actual outcome: 0 || Testing zero case functionality || Dependencies: jr ||
addi3 , addi , pass , james , || Expected outcome: 94 | Actual outcome: 94 || Testing basic functionality || Dependencies: addiu jr ||
addiu1 , addiu , pass , james , || Expected outcome: 254 | Actual outcome: 254 || Testing overflow behaviour || Dependencies: lui jr ||
addiu2 , addiu , pass , james , || Expected outcome: 0 | Actual outcome: 0 || Testing basic functionality || Dependencies: jr ||
addu1 , addu , pass , james , || Expected outcome: 254 | Actual outcome: 254 || Testing overflow behaviour || Dependencies: lui addiu jr ||
addu2 , addu , pass , james , || Expected outcome: 0 | Actual outcome: 0 || Testing basic functionality || Dependencies: jr ||
and1 , and , pass , james , || Expected outcome: 240 | Actual outcome: 240 || Testing basic functionality || Dependencies: addiu jr ||
and2 , and , pass , james , || Expected outcome: 0 | Actual outcome: 0 || Testing zero case functionality || Dependencies: jr ||
and3 , and , pass , james , || Expected outcome: 255 | Actual outcome: 255 || Testing edge case || Dependencies: addiu jr ||
and4 , and , pass , james , || Expected outcome: 0 | Actual outcome: 0 || Testing edge case || Dependencies: addiu jr ||
andi1 , andi , pass , james , || Expected outcome: 240 | Actual outcome: 240 || Testing basic functionality || Dependencies: addiu jr ||
andi2 , andi , pass , james , || Expected outcome: 0 | Actual outcome: 0 || Testing zero case functionality || Dependencies: jr ||
andi3 , andi , pass , james , || Expected outcome: 255 | Actual outcome: 255 || Testing edge case || Dependencies: addiu jr ||
andi4 , andi , pass , james , || Expected outcome: 0 | Actual outcome: 0 || Testing edge case || Dependencies: addiu jr ||
beq1 , beq , pass , james , || Expected outcome: 15 | Actual outcome: 15 || Testing conditional, delay slot and branch execution || Dependencies: ori andi addiu jr ||
bgez1 , bgez , pass , james , || Expected outcome: 15 | Actual outcome: 15 || Testing conditional, delay slot and branch execution || Dependencies: ori andi lui addiu jr ||
